 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
225 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
226 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
227 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
228 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
229 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
230 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
231 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
232 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
233 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
234 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
235 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
236 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
237 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
238 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
239 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
240 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
241 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
242 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
243 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
244 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
245 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
246 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
247 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
248 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
249 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
250 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
251 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
252 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
253 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
254 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
255 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
256 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
257 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
258 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
259 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
260 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
261 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
262 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
263 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
264 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
265 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
266 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
267 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
268 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
269 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
270 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
271 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
272 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
273 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
274 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
275 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
276 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
277 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
278 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
279 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
280 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
281 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
282 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
283 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
284 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
285 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
286 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
287 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
288 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
289 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
290 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
291 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
292 Result (1->win; 0->lose):0, Score:-1.0, timesteps:167
293 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
294 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
295 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
296 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
297 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
298 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
299 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
300 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
301 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
302 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
303 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
304 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
305 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
306 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
307 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
308 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
309 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
310 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
311 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
312 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
313 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
314 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
315 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
316 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
317 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
318 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
319 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
320 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
321 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
322 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
323 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
324 Result (1->win; 0->lose):0, Score:-1.0, timesteps:159
325 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
326 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
327 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
328 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
329 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
330 Result (1->win; 0->lose):0, Score:-1.0, timesteps:171
