 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
233 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
234 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
235 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
236 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
237 Result (1->win; 0->lose):0, Score:1.0, timesteps:675
238 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
239 Result (1->win; 0->lose):0, Score:-1.0, timesteps:163
240 Result (1->win; 0->lose):0, Score:1.0, timesteps:223
241 Result (1->win; 0->lose):0, Score:1.0, timesteps:555
242 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
243 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
244 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
245 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
246 Result (1->win; 0->lose):0, Score:1.0, timesteps:575
247 Result (1->win; 0->lose):0, Score:-1.0, timesteps:91
248 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
249 Result (1->win; 0->lose):0, Score:1.0, timesteps:951
250 Result (1->win; 0->lose):0, Score:1.0, timesteps:699
251 Result (1->win; 0->lose):0, Score:3.0, timesteps:515
252 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
253 Result (1->win; 0->lose):0, Score:-1.0, timesteps:311
254 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
255 Result (1->win; 0->lose):0, Score:1.0, timesteps:315
256 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
257 Result (1->win; 0->lose):0, Score:1.0, timesteps:431
258 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
259 Result (1->win; 0->lose):0, Score:1.0, timesteps:667
260 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
261 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
262 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
263 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
264 Result (1->win; 0->lose):0, Score:-1.0, timesteps:91
265 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
266 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
267 Result (1->win; 0->lose):0, Score:1.0, timesteps:339
268 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
269 Result (1->win; 0->lose):0, Score:1.0, timesteps:587
270 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
271 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
272 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
273 Result (1->win; 0->lose):0, Score:1.0, timesteps:103
274 Result (1->win; 0->lose):0, Score:1.0, timesteps:563
275 Result (1->win; 0->lose):0, Score:1.0, timesteps:615
276 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
277 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
278 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
279 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
