 ** Playing game examples/gridphysics/missilecommand.txt, level examples/gridphysics/missilecommand_lvl0.txt **
171 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
172 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
173 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
174 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
175 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
176 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
177 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
178 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
179 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
180 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
181 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
182 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
183 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
184 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
185 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
186 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
187 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
188 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
189 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
190 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
191 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
192 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
193 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
194 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
195 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
196 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
197 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
198 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
199 Result (1->win; 0->lose):1, Score:2.0, timesteps:198
200 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
201 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
202 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
203 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
204 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
205 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
206 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
207 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
208 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
209 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
210 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
211 Result (1->win; 0->lose):1, Score:5.0, timesteps:110
212 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
213 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
214 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
215 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
216 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
217 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
218 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
219 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
220 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
221 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
222 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
223 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
224 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
225 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
