 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
222 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
223 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
224 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
225 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
226 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
227 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
228 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
229 Result (1->win; 0->lose):0, Score:-1.0, timesteps:691
230 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
231 Result (1->win; 0->lose):0, Score:-1.0, timesteps:707
232 Result (1->win; 0->lose):0, Score:1.0, timesteps:347
233 Result (1->win; 0->lose):0, Score:-1.0, timesteps:323
234 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
235 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
236 Result (1->win; 0->lose):0, Score:-1.0, timesteps:655
237 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
238 Result (1->win; 0->lose):0, Score:1.0, timesteps:875
239 Result (1->win; 0->lose):0, Score:-1.0, timesteps:695
240 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
241 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
242 Result (1->win; 0->lose):0, Score:-1.0, timesteps:695
243 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
244 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
245 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
246 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
247 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
248 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
249 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
250 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
251 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
252 Result (1->win; 0->lose):0, Score:-1.0, timesteps:595
253 Result (1->win; 0->lose):0, Score:-1.0, timesteps:655
254 Result (1->win; 0->lose):0, Score:1.0, timesteps:659
255 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
256 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
257 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
258 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
259 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
260 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
261 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
262 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
263 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
264 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
265 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
266 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
267 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
268 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
269 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
270 Result (1->win; 0->lose):0, Score:1.0, timesteps:347
271 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
272 Result (1->win; 0->lose):0, Score:-1.0, timesteps:695
273 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
274 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
275 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
276 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
277 Result (1->win; 0->lose):0, Score:-1.0, timesteps:399
278 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
279 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
280 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
281 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
282 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
283 Result (1->win; 0->lose):0, Score:-1.0, timesteps:655
284 Result (1->win; 0->lose):0, Score:-1.0, timesteps:783
285 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
286 Result (1->win; 0->lose):0, Score:-1.0, timesteps:435
287 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
288 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
289 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
290 Result (1->win; 0->lose):0, Score:-1.0, timesteps:695
291 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
292 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
293 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
294 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
295 Result (1->win; 0->lose):0, Score:-1.0, timesteps:399
296 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
297 Result (1->win; 0->lose):0, Score:-1.0, timesteps:659
298 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
299 Result (1->win; 0->lose):0, Score:-1.0, timesteps:655
300 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
301 Result (1->win; 0->lose):0, Score:-1.0, timesteps:691
302 Result (1->win; 0->lose):0, Score:-1.0, timesteps:659
303 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
304 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
305 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
306 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
307 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
308 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
309 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
310 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
311 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
312 Result (1->win; 0->lose):0, Score:-1.0, timesteps:631
313 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
314 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
315 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
316 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
317 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
318 Result (1->win; 0->lose):0, Score:-1.0, timesteps:655
319 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
320 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
321 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
322 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
323 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
324 Result (1->win; 0->lose):0, Score:-1.0, timesteps:695
325 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
326 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
327 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
328 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
329 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
330 Result (1->win; 0->lose):0, Score:1.0, timesteps:979
331 Result (1->win; 0->lose):0, Score:-1.0, timesteps:655
332 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
333 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
334 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
335 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
336 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
337 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
338 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
339 Result (1->win; 0->lose):0, Score:1.0, timesteps:743
340 Result (1->win; 0->lose):0, Score:1.0, timesteps:723
341 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
342 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
343 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
344 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
345 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
346 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
347 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
348 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
349 Result (1->win; 0->lose):0, Score:-1.0, timesteps:707
350 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
351 Result (1->win; 0->lose):0, Score:-1.0, timesteps:539
352 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
353 Result (1->win; 0->lose):0, Score:-1.0, timesteps:631
354 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
355 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
356 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
357 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
358 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
359 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
360 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
361 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
362 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
363 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
364 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
365 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
366 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
367 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
368 Result (1->win; 0->lose):0, Score:-1.0, timesteps:687
369 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
370 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
371 Result (1->win; 0->lose):0, Score:-1.0, timesteps:767
372 Result (1->win; 0->lose):0, Score:-1.0, timesteps:655
373 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
374 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
375 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
376 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
377 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
378 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
379 Result (1->win; 0->lose):0, Score:-1.0, timesteps:655
380 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
381 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
382 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
383 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
384 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
385 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
386 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
387 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
388 Result (1->win; 0->lose):0, Score:-1.0, timesteps:387
389 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
390 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
391 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
392 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
393 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
394 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
395 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
396 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
397 Result (1->win; 0->lose):0, Score:-1.0, timesteps:695
398 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
399 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
400 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
401 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
402 Result (1->win; 0->lose):0, Score:-1.0, timesteps:323
403 Result (1->win; 0->lose):0, Score:-1.0, timesteps:663
404 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
405 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
406 Result (1->win; 0->lose):0, Score:-1.0, timesteps:695
407 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
408 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
409 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
410 Result (1->win; 0->lose):0, Score:-1.0, timesteps:339
411 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
412 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
413 Result (1->win; 0->lose):0, Score:-1.0, timesteps:763
414 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
415 Result (1->win; 0->lose):0, Score:-1.0, timesteps:355
416 Result (1->win; 0->lose):0, Score:-1.0, timesteps:707
417 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
418 Result (1->win; 0->lose):0, Score:-1.0, timesteps:695
419 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
420 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
421 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
422 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
423 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
424 Result (1->win; 0->lose):0, Score:-1.0, timesteps:347
425 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
426 Result (1->win; 0->lose):0, Score:-1.0, timesteps:695
427 Result (1->win; 0->lose):0, Score:-1.0, timesteps:323
428 Result (1->win; 0->lose):0, Score:-1.0, timesteps:659
429 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
430 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
