 ** Playing game examples/gridphysics/missilecommand.txt, level examples/gridphysics/missilecommand_lvl0.txt **
137 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
138 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
139 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
140 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
141 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
142 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
143 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
144 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
145 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
146 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
147 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
148 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
149 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
150 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
151 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
152 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
153 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
154 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
155 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
156 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
157 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
158 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
159 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
160 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
161 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
162 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
163 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
164 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
165 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
166 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
167 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
168 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
169 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
170 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
171 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
172 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
173 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
174 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
175 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
176 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
177 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
178 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
179 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
180 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
181 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
182 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
183 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
184 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
185 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
186 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
187 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
188 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
189 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
190 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
191 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
192 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
193 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
194 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
195 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
196 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
197 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
198 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
199 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
200 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
201 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
202 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
203 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
204 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
205 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
206 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
207 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
208 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
209 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
210 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
211 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
212 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
213 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
214 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
215 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
216 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
217 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
218 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
219 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
220 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
221 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
222 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
223 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
224 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
225 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
226 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
227 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
228 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
229 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
230 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
231 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
232 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
233 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
234 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
235 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
236 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
237 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
238 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
239 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
240 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
241 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
242 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
243 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
244 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
245 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
246 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
247 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
248 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
249 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
250 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
251 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
252 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
253 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
254 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
255 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
256 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
257 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
258 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
259 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
260 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
261 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
262 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
263 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
264 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
265 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
266 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
267 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
268 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
269 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
270 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
271 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
272 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
273 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
274 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
275 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
276 Result (1->win; 0->lose):1, Score:2.0, timesteps:132
277 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
278 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
279 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
280 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
281 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
282 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
283 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
284 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
285 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
286 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
287 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
288 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
289 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
290 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
291 Result (1->win; 0->lose):0, Score:-3.0, timesteps:110
292 Result (1->win; 0->lose):0, Score:-1.0, timesteps:209
