 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
132 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
133 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
134 Result (1->win; 0->lose):0, Score:-2.0, timesteps:71
135 Result (1->win; 0->lose):0, Score:0.0, timesteps:17
136 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
137 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
138 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
139 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
140 Result (1->win; 0->lose):0, Score:-2.0, timesteps:68
141 Result (1->win; 0->lose):0, Score:-2.0, timesteps:15
142 Result (1->win; 0->lose):0, Score:0.0, timesteps:149
143 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
144 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
145 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
146 Result (1->win; 0->lose):0, Score:-2.0, timesteps:24
147 Result (1->win; 0->lose):0, Score:-2.0, timesteps:113
148 Result (1->win; 0->lose):0, Score:-2.0, timesteps:80
149 Result (1->win; 0->lose):0, Score:-2.0, timesteps:85
150 Result (1->win; 0->lose):0, Score:-2.0, timesteps:36
151 Result (1->win; 0->lose):0, Score:-2.0, timesteps:36
152 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
153 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
154 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
155 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
156 Result (1->win; 0->lose):0, Score:-2.0, timesteps:52
157 Result (1->win; 0->lose):0, Score:-2.0, timesteps:75
158 Result (1->win; 0->lose):0, Score:-2.0, timesteps:18
159 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
160 Result (1->win; 0->lose):0, Score:-2.0, timesteps:196
161 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
162 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
163 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
164 Result (1->win; 0->lose):0, Score:-2.0, timesteps:111
165 Result (1->win; 0->lose):0, Score:-2.0, timesteps:179
166 Result (1->win; 0->lose):0, Score:-2.0, timesteps:81
167 Result (1->win; 0->lose):0, Score:-2.0, timesteps:68
168 Result (1->win; 0->lose):0, Score:-2.0, timesteps:57
169 Result (1->win; 0->lose):0, Score:-2.0, timesteps:75
170 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
171 Result (1->win; 0->lose):0, Score:-2.0, timesteps:30
172 Result (1->win; 0->lose):0, Score:-2.0, timesteps:23
173 Result (1->win; 0->lose):0, Score:-2.0, timesteps:60
174 Result (1->win; 0->lose):0, Score:-2.0, timesteps:135
175 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
176 Result (1->win; 0->lose):0, Score:-2.0, timesteps:26
177 Result (1->win; 0->lose):0, Score:-2.0, timesteps:39
178 Result (1->win; 0->lose):0, Score:-2.0, timesteps:41
179 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
180 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
181 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
182 Result (1->win; 0->lose):0, Score:-2.0, timesteps:50
183 Result (1->win; 0->lose):0, Score:-2.0, timesteps:117
